"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"High","2026-07-17 06:17:24 AM","2026-07-17 06:32:24 AM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-17 04:17:24 AM","2026-07-17 04:47:24 AM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-17 03:58:45 AM","2026-07-17 04:01:45 AM","RESOLVED","ANU-APUA-MPLS01","ICMP: High ICMP ping response time","3m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.150, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-17 01:32:24 AM","2026-07-17 01:47:24 AM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 11:17:24 PM","2026-07-16 11:32:24 PM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-16 09:10:45 PM","2026-07-16 09:11:45 PM","RESOLVED","ANU-APUA-MPLS01","ICMP: High ICMP ping loss","1m","No","Actions (4)","alerttype: availability, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.150, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 08:17:24 PM","2026-07-16 08:32:24 PM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 03:47:24 PM","2026-07-16 04:02:24 PM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 11:32:24 AM","2026-07-16 11:47:24 AM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-15 08:47:24 PM","2026-07-15 09:02:24 PM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-15 06:32:24 PM","2026-07-15 06:47:24 PM","RESOLVED","ANU-APUA-MPLS01","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.150, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
