"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-07-17 10:13:52 AM","2026-07-17 10:43:52 AM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","30m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-17 10:13:52 AM","2026-07-17 10:33:52 AM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","20m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-17 05:16:46 AM","2026-07-17 05:18:46 AM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping response time","2m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-17 05:14:46 AM","2026-07-17 05:15:46 AM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping response time","1m","No","Actions (4)","alerttype: network performance, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-17 04:48:01 AM","2026-07-17 05:03:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-17 01:18:01 AM","2026-07-17 01:48:01 AM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","30m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 11:33:01 PM","2026-07-16 11:48:01 PM","RESOLVED","ANU-APUA01-MPLS02","Routing Engine 0: Temperature is above critical threshold: >60","15m","No","Actions (4)","alerttype: hardware, city: antigua, class: network, component: temperature, country: antigua, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-16 09:10:46 PM","2026-07-16 09:11:46 PM","RESOLVED","ANU-APUA01-MPLS02","ICMP: High ICMP ping loss","1m","No","Actions (4)","alerttype: availability, city: antigua, class: network, component: icmp, country: antigua, ip: 172.18.164.151, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 08:53:52 PM","2026-07-16 09:16:52 PM","RESOLVED","ANU-APUA01-MPLS02","Interface et-0/0/0(TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS): Link down","23m","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_et-0/0/0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: et-0/0/0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 08:53:52 PM","2026-07-16 09:16:52 PM","RESOLVED","ANU-APUA01-MPLS02","Interface ae0(TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS): Link down","23m","No","Actions (4)","alerttype: availability, alias: TO_NAM-APUA-MPLS02_ae0_22768.CN_BKBN_MPLS, city: antigua, class: network, component: interface, country: antigua, interface: ae0, ip: 172.18.164.151, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
