"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-07-17 05:20:08 AM","2026-07-17 05:26:08 AM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: High CPU utilization (over 96% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-17 01:08:08 AM","2026-07-17 01:14:08 AM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: High CPU utilization (over 96% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 05:12:08 AM","2026-07-16 05:13:08 AM","RESOLVED","BHS-EMR-MPLS01","ICMP: Unavailable by ICMP ping","1m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.24, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-07-15 08:14:08 PM","2026-07-15 08:20:08 PM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: High CPU utilization (over 96% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-15 10:44:08 AM","2026-07-15 10:50:08 AM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: High CPU utilization (over 96% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-15 06:47:09 AM","2026-07-15 07:02:08 AM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: Temperature is above warning threshold: >50","14m 59s","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-15 06:47:09 AM","2026-07-15 07:02:08 AM","RESOLVED","BHS-EMR-MPLS01","AFEB Exhaust B temperature sensor: Temperature is above warning threshold: >50","14m 59s","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-15 06:17:08 AM","2026-07-15 06:32:08 AM","RESOLVED","BHS-EMR-MPLS01","AFEB Exhaust B temperature sensor: Temperature is above warning threshold: >50","15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-15 06:17:08 AM","2026-07-15 06:32:08 AM","RESOLVED","BHS-EMR-MPLS01","Routing Engine 0: Temperature is above warning threshold: >50","15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-15 06:17:08 AM","2026-07-15 06:32:08 AM","RESOLVED","BHS-EMR-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.24, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
