"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-07-17 10:56:09 AM","2026-07-17 11:02:09 AM","RESOLVED","BHS-NAS-MPLS01","Routing Engine 1: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-16 10:50:09 AM","2026-07-16 10:56:09 AM","RESOLVED","BHS-NAS-MPLS01","Routing Engine 1: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-16 05:12:09 AM","2026-07-16 05:13:09 AM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","1m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-14 02:40:09 PM","2026-07-14 02:41:09 PM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","1m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-13 08:47:09 AM","","PROBLEM","BHS-NAS-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","4d 2h 33m","No","Actions (2)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-11 06:20:09 PM","2026-07-11 06:26:09 PM","RESOLVED","BHS-NAS-MPLS01","Routing Engine 1: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-09 10:35:47 AM","2026-07-09 10:45:47 AM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_DMA-ROS-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","10m","No","Actions (4)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-09 10:14:09 AM","2026-07-09 10:20:09 AM","RESOLVED","BHS-NAS-MPLS01","Routing Engine 1: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-08 09:47:09 PM","2026-07-09 04:32:09 AM","RESOLVED","BHS-NAS-MPLS01","AFEB Exhaust A temperature sensor: Temperature is above warning threshold: >50","6h 45m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 03:35:47 PM","2026-07-08 03:45:47 PM","RESOLVED","BHS-NAS-MPLS01","MPLS LSP BHS-NAS-MPLS01_to_GRN-MHN-MPLS01: Operational status is down  |  ( From {#MPLSLSP_FROM} to {#MPLSLSP_TO} )","10m","No","Actions (4)","alerttype: availability, class: network, component: mplslsp, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
