"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-07-17 10:57:37 AM","2026-07-17 11:03:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-09 10:15:37 AM","2026-07-09 10:21:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 11:56:03 PM","2026-07-09 11:26:04 AM","RESOLVED","BRB-GARRI-MPLS01","Interface irb.3538(): Link down","11h 30m 1s","Yes","Messages (1), Actions (5)","alerttype: availability, alias, class: network, component: interface, country: barbados, interface: irb.3538, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 11:56:03 PM","2026-07-09 11:26:04 AM","RESOLVED","BRB-GARRI-MPLS01","Interface ge-1/1/1(TO-FLOW-BARBADOS-GARRISON-H1-6509-01-Gi3/17_8648.TR_NNI_XXX): Link down","11h 30m 1s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-FLOW-BARBADOS-GARRISON-H1-6509-01-Gi3/17_8648.TR_NNI_XXX, class: network, component: interface, country: barbados, interface: ge-1/1/1, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-07-05 03:32:09 PM","2026-07-05 03:36:09 PM","RESOLVED","BRB-GARRI-MPLS01","ICMP: Unavailable by ICMP ping","4m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: barbados, ip: 10.212.176.81, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Average","2026-07-04 01:09:37 AM","2026-07-04 01:15:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-07-02 08:17:35 PM","2026-07-02 09:44:35 PM","RESOLVED","BRB-GARRI-MPLS01","Generic SNMP: No SNMP data collection","1h 27m","No","Actions (4)","alerttype: availability, class: network, component: zabbixagent, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"High","2026-07-02 08:14:09 PM","2026-07-02 09:44:09 PM","RESOLVED","BRB-GARRI-MPLS01","ICMP: Unavailable by ICMP ping","1h 30m","Yes","Messages (1), Actions (5)","alerttype: availability, class: network, component: icmp, country: barbados, ip: 10.212.176.81, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Warning","2026-06-28 11:13:59 AM","2026-06-28 01:28:59 PM","RESOLVED","BRB-GARRI-MPLS01","TFEB Intake temperature sensor: Temperature is above warning threshold: >50","2h 15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Warning","2026-06-28 11:13:58 AM","2026-06-28 01:28:58 PM","RESOLVED","BRB-GARRI-MPLS01","TFEB MX5-T: Temperature is above warning threshold: >50","2h 15m","No","Actions (4)","alerttype: hardware, class: network, component: temperature, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-25 11:03:37 AM","2026-06-25 11:09:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-22 10:45:37 AM","2026-06-22 10:51:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-21 10:39:37 AM","2026-06-21 10:45:37 AM","RESOLVED","BRB-GARRI-MPLS01","Routing Engine: High CPU utilization (over 90% for 5m)","6m","No","Actions (4)","alerttype: performance, class: network, component: cpu, country: barbados, ip: 10.212.176.81, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
