"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-07-13 12:35:38 PM","2026-07-13 12:45:38 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ge-2/2/0(TO-NOTA-MPLS01-GE-0/1/4_5561.TR_BKBN_MPLS): High error rate (>2 for 5m)","10m","No","Actions (4)","alerttype: errors, alias: TO-NOTA-MPLS01-GE-0/1/4_5561.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ge-2/2/0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 12:35:38 PM","2026-07-13 12:45:38 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae1(TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS): High error rate (>2 for 5m)","10m","No","Actions (4)","alerttype: errors, alias: TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ae1, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 07:17:41 AM","2026-07-13 07:26:34 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","8m 53s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 07:17:41 AM","2026-07-13 07:26:34 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","8m 53s","No","Actions (4)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 04:14:33 AM","2026-07-13 06:44:29 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 29m 56s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 03:57:41 AM","2026-07-13 06:46:34 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h 48m 53s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-13 03:57:41 AM","2026-07-13 06:46:34 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h 48m 53s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 04:14:29 PM","2026-07-08 06:14:27 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","1h 59m 58s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 03:56:34 PM","2026-07-08 06:06:34 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h 10m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-08 03:56:34 PM","2026-07-08 06:06:34 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h 10m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-01 11:55:33 AM","2026-07-01 12:15:33 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ge-2/2/0(TO-NOTA-MPLS01-GE-0/1/4_5561.TR_BKBN_MPLS): High error rate (>2 for 5m)","20m","No","Actions (4)","alerttype: errors, alias: TO-NOTA-MPLS01-GE-0/1/4_5561.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ge-2/2/0, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-07-01 11:55:33 AM","2026-07-01 12:15:33 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae1(TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS): High error rate (>2 for 5m)","20m","No","Actions (4)","alerttype: errors, alias: TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ae1, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-30 08:54:29 AM","2026-06-30 11:54:27 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 59m 58s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-30 08:26:34 AM","2026-06-30 11:57:40 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","3h 31m 6s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-30 08:26:34 AM","2026-06-30 11:57:40 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","3h 31m 6s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-27 05:06:28 PM","2026-06-27 05:17:49 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae1(TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS): Link down","11m 21s","No","Actions (4)","alerttype: availability, alias: TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ae1, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-27 04:46:28 PM","2026-06-27 04:56:28 PM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae1(TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS): Link down","10m","No","Actions (4)","alerttype: availability, alias: TO-NOTA-MPLS01-ae10_5561.TR-5027374.TR_BKBN_MPLS, class: network, component: interface, country: guatemala, interface: ae1, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 08:24:27 AM","2026-06-26 10:54:30 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Zero bandwidth usage","2h 30m 3s","Yes","Messages (1), Actions (5)","alerttype: capacity, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 08:17:40 AM","2026-06-26 10:56:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface xe-3/0/3(TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN): Link down","2h 38m 48s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-xe-0/0/1:0_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: xe-3/0/3, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-06-26 08:17:40 AM","2026-06-26 10:56:28 AM","RESOLVED","GTM-CNCTJ-MPLS01","Interface ae5(TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN): Link down","2h 38m 48s","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-SLV-AVNTE-MPLS01-ae5_5044970.GT_BKBN, class: network, component: interface, country: guatemala, interface: ae5, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-06-26 07:47:26 AM","2026-06-26 07:50:26 AM","RESOLVED","GTM-CNCTJ-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: guatemala, ip: 172.18.22.25, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
